x,y,z,id,disp_r,disp_z
0,0,0,0,0.00014453111634211,0.07165203443421
100,0,0,100,0.0023644901507238,0.071196014822321
200,0,0,200,0.0045844351127645,0.070739961457946
300,0,0,300,0.0066062768315695,0.06980875780294
400,0,0,400,0.0086281185503745,0.068877554147933
500,0,0,500,0.010466481212473,0.067465640433104
600,0,0,600,0.012293162835358,0.066023122718234
700,0,0,700,0.013883861416992,0.0642301064116
800,0,0,800,0.015422205481076,0.062359329497354
900,0,0,900,0.016734192250165,0.060292041329018
1000,0,0,1000,0.017914973979352,0.058110847987294
1100,0,0,1100,0.018959568991008,0.055842480620875
1200,0,0,1200,0.019783961152151,0.053433159943614
1300,0,0,1300,0.020584631822386,0.051022525402093
1400,0,0,1400,0.021036483413308,0.048592570788177
1500,0,0,1500,0.02148833500423,0.04616261617426
1600,0,0,1600,0.021717731370063,0.043776038960596
1700,0,0,1700,0.021840346379236,0.041410283454517
1800,0,0,1800,0.02190663046464,0.039078224395523
1900,0,0,1900,0.021768487276263,0.03686845114959
2000,0,0,2000,0.021630344087887,0.034658677903658
2100,0,0,2100,0.021359767064335,0.032601434146102
2200,0,0,2200,0.021027609708541,0.03061511498692
2300,0,0,2300,0.020685105041281,0.028646643997292
2400,0,0,2400,0.020211532929041,0.026904252408912
2500,0,0,2500,0.019737960816801,0.025161860820533
2600,0,0,2600,0.019236433331557,0.023526683761398
2700,0,0,2700,0.018690336614162,0.022062438753258
2800,0,0,2800,0.018144239896767,0.020598193745117
2900,0,0,2900,0.017587012325025,0.019281963687991
3000,0,0,3000,0.017022878908911,0.018057565594946
3100,0,0,3100,0.016458745492796,0.016833167501901
3200,0,0,3200,0.015900328520452,0.015773061306365
3300,0,0,3300,0.015343660379308,0.014763216918333
3400,0,0,3400,0.014786992238164,0.013753372530301
3500,0,0,3500,0.014252383498586,0.012908091648339
3600,0,0,3600,0.01372233096194,0.012096800116757
3700,0,0,3700,0.013192278425295,0.011285508585175
3800,0,0,3800,0.012702125380256,0.010604120962069
3900,0,0,3900,0.012221712246372,0.009954444332671
4000,0,0,4000,0.011741299112488,0.0093047677032732
4100,0,0,4100,0.011285463186042,0.0087456273220981
4200,0,0,4200,0.010840772139025,0.0082275418725253
4300,0,0,4300,0.010396081092007,0.0077094564229526
4400,0,0,4400,0.0099775717613786,0.0072448148650534
4500,0,0,4500,0.0095875665572482,0.0068383578595415
4600,0,0,4600,0.0091975613531179,0.0064319008540297
4700,0,0,4700,0.0088172779625252,0.006039631820305
4800,0,0,4800,0.0084833880567406,0.0057150692336354
4900,0,0,4900,0.0081494981509561,0.0053905066469659
5000,0,0,5000,0.0078156082451715,0.0050659440602963
5100,0,0,5100,0.0075099810691465,0.0047947379035639
5200,0,0,5200,0.0072128645327264,0.0045395987491933
5300,0,0,5300,0.0069157479963063,0.0042844595948226
5400,0,0,5400,0.0066284723955235,0.0040437457336798
5500,0,0,5500,0.0063689529434268,0.0038437181038499
5600,0,0,5600,0.0061094334913301,0.0036436904740199
5700,0,0,5700,0.0058499140392334,0.0034436628441899
5800,0,0,5800,0.0056122442804011,0.0032714118642619
5900,0,0,5900,0.0053863537924381,0.0031141354049863
6000,0,0,6000,0.0051604633044751,0.0029568589457107
6100,0,0,6100,0.0049345728165121,0.0027995824864351
6200,0,0,6200,0.0047350428248528,0.0026740440449381
6300,0,0,6300,0.0045375167124548,0.0025509182725687
6400,0,0,6400,0.0043399906000567,0.0024277925001992
6500,0,0,6500,0.0041450084274339,0.0023072106554723
6600,0,0,6600,0.0039736090405046,0.0022102114839674
6700,0,0,6700,0.0038022096535752,0.0021132123124625
6800,0,0,6800,0.0036308102666459,0.0020162131409576
6900,0,0,6900,0.0034621798639449,0.0019224471695145
7000,0,0,7000,0.0033091874559522,0.0018469408778989
7100,0,0,7100,0.0031561950479595,0.0017714345862833
7200,0,0,7200,0.0030032026399668,0.0016959282946678
7300,0,0,7300,0.0028517528502771,0.0016220873644653
7400,0,0,7400,0.002716890018422,0.0015661531837713
7500,0,0,7500,0.0025820271865669,0.0015102190030773
7600,0,0,7600,0.0024471643547118,0.0014542848223834
7700,0,0,7700,0.0023123015228568,0.0013983506416894
7800,0,0,7800,0.0021912008472783,0.0013550791782407
7900,0,0,7900,0.0020716669324921,0.0013132493093
8000,0,0,8000,0.001952133017706,0.0012714194403592
8100,0,0,8100,0.0018325991029199,0.0012295895714184
8200,0,0,8200,0.00171972443232,0.0011937486309562
8300,0,0,8300,0.0016115762238537,0.0011621583896548
8400,0,0,8400,0.0015034280153874,0.0011305681483534
8500,0,0,8500,0.0013952798069211,0.001098977907052
8600,0,0,8600,0.0012883683994331,0.0010689038551265
8700,0,0,8700,0.0011888945060395,0.0010479474220015
8800,0,0,8800,0.0010894206126459,0.0010269909888765
8900,0,0,8900,0.00098994671925229,0.0010060345557515
9000,0,0,9000,0.00089047282585869,0.00098507812262648
9100,0,0,9100,0.00079585762722666,0.00096923284508867
9200,0,0,9200,0.00070495252476537,0.00095729044264441
9300,0,0,9300,0.00061404742230409,0.00094534804020016
9400,0,0,9400,0.0005231423198428,0.0009334056377559
9500,0,0,9500,0.00043223721738152,0.00092146323531164
9600,0,0,9600,0.00034525421327708,0.00091597113463992
9700,0,0,9700,0.00025894065995781,0.00091158001594092
9800,0,0,9800,0.00017262710663854,0.00090718889724193
9900,0,0,9900,8.631355331927e-05,0.00090279777854294
10000,0,0,10000,0,0.00089840665984395
