x,y,z,id,stress_xx
0,0,0,0,-2161445.6838872
0,-5100,0,5100,-129837430.11689
0,-4900,0,4900,-125024561.62714
0,-5200,0,5200,-134930145.56273
0,-4800,0,4800,-120476132.07887
0,-5300,0,5300,-134930145.56273
0,-4700,0,4700,-120476132.07887
0,-5400,0,5400,-134930145.56273
0,-4600,0,4600,-116159719.0301
0,-5500,0,5500,-140298446.7888
0,-4500,0,4500,-116159719.0301
0,-5600,0,5600,-140298446.7888
0,-4400,0,4400,-112063287.67229
0,-5700,0,5700,-146015704.7557
0,-4300,0,4300,-108016152.20719
0,-5800,0,5800,-146015704.7557
0,-4200,0,4200,-108016152.20719
0,-5900,0,5900,-151886473.36007
0,-4100,0,4100,-104525162.54216
0,-6000,0,6000,-151886473.36007
0,-4000,0,4000,-101211922.0532
0,-6100,0,6100,-158289003.06438
0,-3900,0,3900,-97842122.275105
0,-6200,0,6200,-158289003.06438
0,-3800,0,3800,-94932171.610156
0,-6300,0,6300,-158289003.06438
0,-3700,0,3700,-92184071.753453
0,-6400,0,6400,-165335246.95103
0,-3600,0,3600,-92184071.753453
0,-6500,0,6500,-165335246.95103
0,-3500,0,3500,-89133452.396864
0,-6600,0,6600,-165335246.95103
0,-3400,0,3400,7233902
0,-6700,0,6700,-172674312.71022
0,-3300,0,3300,7233902
0,-6800,0,6800,-172674312.71022
0,-3200,0,3200,7233902
0,-6900,0,6900,-172674312.71022
0,-3100,0,3100,7233902
0,-7000,0,7000,-180316522.08681
0,-3000,0,3000,7233902
0,-7100,0,7100,-180316522.08681
0,-2900,0,2900,7233902
0,-7200,0,7200,-180316522.08681
0,-2800,0,2800,7233902
0,-7300,0,7300,-188337690.72482
0,-2700,0,2700,7233902
0,-7400,0,7400,-188337690.72482
0,-2600,0,2600,7233902
0,-7500,0,7500,-188337690.72482
0,-5000,0,5000,-125024561.62714
0,-7600,0,7600,-196760348.62628
0,-2400,0,2400,-59025969.432501
0,-7700,0,7700,-196760348.62628
0,-2300,0,2300,-59025969.432501
0,-7800,0,7800,-196760348.62628
0,-2200,0,2200,-56240007.049662
0,-7900,0,7900,-196760348.62628
0,-2100,0,2100,-53586651.123442
0,-8000,0,8000,-206260748.15331
0,-2000,0,2000,-50772804.472937
0,-8100,0,8100,-206260748.15331
0,-1900,0,1900,-47800810.304411
0,-8200,0,8200,-206260748.15331
0,-1800,0,1800,-44793195.657391
0,-8300,0,8300,-216195171.78747
0,-1700,0,1700,-41666675.359179
0,-8400,0,8400,-216195171.78747
0,-1600,0,1600,-41666675.359179
0,-8500,0,8500,-216195171.78747
0,-1500,0,1500,-38504302.29449
0,-8600,0,8600,-216195171.78747
0,-1400,0,1400,-35021762.478087
0,-8700,0,8700,-226244894.60125
0,-1300,0,1300,-31457021.355022
0,-8800,0,8800,-226244894.60125
0,-2500,0,2500,-62531986.872915
0,-1200,0,1200,-31457021.355022
0,-8900,0,8900,-226244894.60125
0,-1100,0,1100,-27789120.710199
0,-9000,0,9000,-226244894.60125
0,-1000,0,1000,-23844706.792062
0,-9100,0,9100,-236940403.6799
0,-900,0,900,-23844706.792062
0,-9200,0,9200,-236940403.6799
0,-800,0,800,-19805416.383902
0,-9300,0,9300,-236940403.6799
0,-700,0,700,-15580319.8224
0,-9400,0,9400,-236940403.6799
0,-600,0,600,-15580319.8224
0,-9500,0,9500,-236940403.6799
0,-500,0,500,-11163276.664146
0,-9600,0,9600,-247650874.01729
0,-400,0,400,-11163276.664146
0,-9700,0,9700,-247650874.01729
0,-300,0,300,-6591031.6526655
0,-9800,0,9800,-247650874.01729
0,-200,0,200,-6591031.6526655
0,-9900,0,9900,-247650874.01729
0,-10000,0,10000,-247650874.01729
0,-100,0,100,-2161445.6838872
100,-1800,0,1802.775637732,-46294373.390058
100,-100,0,141.42135623731,-306461.49316155
100,-5300,0,5300.9433122794,-134930145.56273
100,-9300,0,9300.5376188691,-236940403.6799
100,-2900,0,2901.7236257094,7233902
100,-4000,0,4001.2498047485,-101211922.0532
100,-7200,0,7200.6944109579,-184273441.68555
100,-7100,0,7100.7041904307,-180316522.08681
100,-6100,0,6100.8196170679,-155005791.05158
100,-3000,0,3001.6662039607,7233902
100,-9200,0,9200.5434622092,-236940403.6799
100,-900,0,905.53851381374,-21826722.251401
100,-2800,0,2801.7851452244,7233902
100,-7300,0,7300.6848993776,-188337690.72482
100,-4400,0,4401.1362169331,-109960590.35306
100,-4700,0,4701.0637094173,-118327662.85307
100,-700,0,707.10678118655,-17702561.920309
100,-9400,0,9400.5318998448,-236940403.6799
100,-9100,0,9100.5494339628,-231484935.89064
100,-1000,0,1004.9875621121,-25802026.725503
100,-7000,0,7000.7142492749,-180316522.08681
100,-4800,0,4801.0415536631,-122715624.17227
100,-3700,0,3701.3511046643,-93634709.090375
100,-2700,0,2701.8512172213,7233902
100,-6000,0,6000.833275471,-151886473.36007
100,-7400,0,7400.6756448314,-188337690.72482
100,-3100,0,3101.6124838542,7233902
100,-9000,0,9000.5555384098,-226244894.60125
100,-2600,0,2601.9223662515,7233902
100,-8300,0,8300.6023877789,-211124538.07627
100,-600,0,608.27625302982,-13361410.043756
100,-5400,0,5400.9258465563,-137610565.40552
100,-4100,0,4101.219330882,-103611712.17046
100,-9500,0,9500.5263012109,-241784149.97856
100,-6400,0,6400.7812023221,-161739417.82668
100,-1100,0,1104.5361017187,-27789120.710199
100,-3900,0,3901.2818406262,-99592465.862363
100,-5000,0,5000.99990002,-127431733.90904
100,-7500,0,7500.6666370397,-192425252.27189
100,-2500,0,2501.9992006394,-62564350.277648
100,-6900,0,6900.7245996344,-176535687.99061
100,-3200,0,3201.5621187164,7233902
100,-5200,0,5200.9614495783,-132394815.9306
100,-8900,0,8900.5617800227,-226244894.60125
100,-7600,0,7600.6578662639,-192425252.27189
100,-6200,0,6200.806399171,-158289003.06438
100,-1200,0,1204.1594578792,-29630521.637588
100,-500,0,509.90195135928,-13361410.043756
100,-9600,0,9600.5208192056,-247650874.01729
100,-5900,0,5900.8473967728,-148870158.89664
100,-4600,0,4601.0868281309,-118327662.85307
100,-6800,0,6800.7352543677,-172674312.71022
100,-2400,0,2402.0824298929,-60373908.877593
100,-8200,0,8200.6097334284,-206260748.15331
100,-3300,0,3301.5148038438,7233902
100,-8800,0,8800.5681634767,-226244894.60125
100,-7700,0,7700.6493232714,-196760348.62628
100,-800,0,806.22577482985,-19805416.383902
100,-1900,0,1902.629759044,-46294373.390058
100,-1300,0,1303.8404810405,-33223699.467482
100,-4200,0,4201.19030752,-106326365.84241
100,-5500,0,5500.90901579,-140298446.7888
100,-6700,0,6700.7462271004,-172674312.71022
100,-2300,0,2302.1728866443,-57523394.512953
100,-8700,0,8700.5746936625,-221244071.95549
100,-7800,0,7800.6409993026,-196760348.62628
100,-1700,0,1702.9386365926,-43219584.513519
100,-400,0,412.31056256177,-8888564.2219191
100,-9700,0,9700.5154502222,-247650874.01729
100,-1400,0,1403.5668847618,-35021762.478087
100,-3400,0,3401.470270339,7233902
100,-5100,0,5100.9802979427,-129837430.11689
100,-5700,0,5700.8771254957,-146015704.7557
100,-4900,0,4901.0203019371,-125024561.62714
100,-2200,0,2202.2715545545,-55000488.099914
100,-8400,0,8400.5952170069,-216195171.78747
100,-5800,0,5800.8620049093,-148870158.89664
100,-7900,0,7900.6328860415,-201539601.6022
100,-3800,0,3801.3155617496,-96134252.817779
100,-8600,0,8600.5813756978,-216195171.78747
100,-4500,0,4501.1109739708,-114112403.40727
100,-1500,0,1503.3296378373,-36797293.200646
100,-300,0,316.22776601684,-6591031.6526655
100,-9800,0,9800.5101908013,-247650874.01729
100,-2100,0,2102.3796041629,-52532892.336217
100,-4300,0,4301.1626335213,-109960590.35306
100,-8000,0,8000.6249755878,-206260748.15331
100,-6600,0,6600.7575322837,-168954655.64186
100,-3500,0,3501.4282800023,-88950244.934405
100,-8500,0,8500.5882149414,-216195171.78747
100,-6300,0,6300.7936008093,-161739417.82668
100,0,0,100,-306461.49316155
100,-1600,0,1603.1219541881,-40113576.884209
100,-6500,0,6500.769185258,-165335246.95103
100,-3600,0,3601.3886210738,-90690268.690541
100,-2000,0,2002.4984394501,-49292355.327132
100,-8100,0,8100.6172604315,-206260748.15331
100,-9900,0,9900.5050376231,-247650874.01729
100,-10000,0,10000.499987501,-251933570.13387
100,-5600,0,5600.8927859762,-143130885.08463
100,-200,0,223.60679774998,-4545497.7080748
200,-10000,0,10001.99980004,-251933570.13387
200,-5900,0,5903.3888572582,-148760745.01806
200,-200,0,282.84271247462,-4528539.5498788
200,-500,0,538.51648071345,-11663086.639909
200,-9600,0,9602.0831073262,-241784149.97856
200,-800,0,824.62112512353,-19704147.75395
200,-5300,0,5303.7722424704,-134900822.65174
200,-100,0,223.60679774998,-2108336.5142065
200,-1200,0,1216.5525060596,-29803853.890045
200,-7600,0,7602.6311234993,-192425252.27189
200,-4600,0,4604.3457732885,-116090367.40396
200,-6200,0,6203.2249677083,-158289003.06438
200,-5600,0,5603.5702904488,-143052934.87156
200,-6800,0,6802.940540678,-176535687.99061
200,-8100,0,8102.4687595819,-206260748.15331
200,-9900,0,9902.0199959402,-251933570.13387
200,-8900,0,8902.2469073824,-226244894.60125
200,-2000,0,2009.9751242242,-49659607.586624
200,-2400,0,2408.3189157585,-60463490.746038
200,-3600,0,3605.551275464,-90408757.571199
200,-8200,0,8202.438661764,-211124538.07627
200,-3300,0,3306.0550509633,7233902
200,-3200,0,3206.2439083763,7233902
200,-8800,0,8802.2724338662,-226244894.60125
200,-9300,0,9302.1502890461,-236940403.6799
200,-6900,0,6902.8979421689,-176535687.99061
200,-7700,0,7702.5969646607,-196760348.62628
200,-1900,0,1910.4973174543,-47956087.830795
200,-6500,0,6503.0761951556,-165335246.95103
200,-1300,0,1315.2946437966,-31726777.220223
200,-2500,0,2507.9872407969,-62741711.445095
200,-4200,0,4204.7592083257,-106754118.92495
200,-2900,0,2906.8883707497,7233902
200,-7500,0,7502.6661927611,-192425252.27189
200,-4000,0,4004.9968789002,-100818932.88188
200,-7200,0,7202.7772421476,-184273441.68555
200,-5000,0,5003.9984012787,-127477761.09394
200,-5500,0,5503.6351623268,-140218896.54738
200,-1600,0,1612.4515496597,-39580825.276378
200,-3900,0,3905.1248379533,-97636314.038137
200,-1100,0,1118.0339887499,-27931982.633432
200,-6700,0,6702.9844099476,-168954655.64186
200,-6400,0,6403.1242374328,-161739417.82668
200,-2300,0,2308.679276123,-58139369.350262
200,-9500,0,9502.1050299394,-241784149.97856
200,-8700,0,8702.2985469357,-221244071.95549
200,-7100,0,7102.8163428319,-180316522.08681
200,-1800,0,1811.0770276275,-45241181.319866
200,-1700,0,1711.7242768624,-42045703.813705
200,-4100,0,4104.8751503548,-102355420.8509
200,-6300,0,6303.1738037278,-161739417.82668
200,-400,0,447.21359549996,-9227076.172744
200,-5400,0,5403.7024344425,-137584497.87234
200,-6100,0,6103.2778078669,-155005791.05158
200,-8500,0,8502.3526156,-216195171.78747
200,-8300,0,8302.4092888751,-211124538.07627
200,-9700,0,9702.0616365801,-247650874.01729
200,-600,0,632.45553203368,-15805018.279334
200,-7800,0,7802.5636812525,-201539601.6022
200,-9000,0,9002.2219479415,-231484935.89064
200,-3000,0,3006.6592756746,7233902
200,-2600,0,2607.6809620811,7233902
200,-1400,0,1414.2135623731,-35102794.286971
200,-3100,0,3106.4449134018,7233902
200,-7400,0,7402.7022093287,-188337690.72482
200,-3400,0,3405.8772731853,7233902
200,-6000,0,6003.3324079215,-155005791.05158
200,-3500,0,3505.7096285916,-88683106.698051
200,-9200,0,9202.1736562619,-236940403.6799
200,-3700,0,3705.4014627298,-93253623.735539
200,-2700,0,2707.3972741362,7233902
200,-5100,0,5103.9200620699,-129868337.03052
200,-900,0,921.95444572929,-21734878.075881
200,-6600,0,6603.0296076877,-168954655.64186
200,0,0,200,-835061.6722253
200,-5700,0,5703.5076926397,-143052934.87156
200,-4900,0,4904.0799340957,-125037405.05899
200,-4800,0,4804.1648597857,-122764185.72586
200,-2200,0,2209.0722034375,-54495949.766536
200,-8000,0,8002.499609497,-201539601.6022
200,-5200,0,5203.8447325031,-132349087.81461
200,-4300,0,4304.6486500062,-108456753.03131
200,-2800,0,2807.1337695236,7233902
200,-7300,0,7302.7392121039,-184273441.68555
200,-5800,0,5803.4472514188,-148760745.01806
200,-8400,0,8402.38061504,-211124538.07627
200,-7900,0,7902.5312400521,-201539601.6022
200,-2100,0,2109.5023109729,-52271414.266875
200,-7000,0,7002.8565600046,-176535687.99061
200,-3800,0,3805.2595180881,-95582835.259529
200,-8600,0,8602.3252670426,-221244071.95549
200,-1000,0,1019.8039027186,-25881486.757085
200,-4700,0,4704.2533945356,-118292539.31066
200,-9100,0,9102.1975368589,-231484935.89064
200,-4500,0,4504.4422518221,-114012875.09088
200,-9800,0,9802.0406038743,-247650874.01729
200,-4400,0,4404.543109109,-112066523.30082
200,-1500,0,1513.2745950422,-37960049.051756
200,-9400,0,9402.1274188345,-241784149.97856
200,-300,0,360.5551275464,-6844344.1860931
200,-700,0,728.01098892805,-17744917.713287
300,-5900,0,5907.6221950968,-151239870.5303
300,-4400,0,4410.21541424,-113149070.15258
300,-700,0,761.57731058639,-16419924.061613
300,-300,0,424.26406871193,-6844344.1860931
300,-200,0,360.5551275464,-4528539.5498788
300,-5300,0,5308.4837759948,-134900822.65174
300,-500,0,583.09518948453,-12341891.041161
300,-9600,0,9604.6863561493,-241784149.97856
300,-7600,0,7605.9187479226,-192147877.20304
300,-9400,0,9404.7860156412,-241784149.97856
300,-1200,0,1236.9316876853,-30599257.609979
300,-8100,0,8105.5536516638,-206260748.15331
300,-1500,0,1529.7058540778,-37786365.073654
300,-10000,0,10004.498987955,-251933570.13387
300,-800,0,854.40037453175,-18890203.071258
300,-6000,0,6007.4953183502,-154388222.191
300,-4600,0,4609.7722286464,-115397246.26062
300,-9800,0,9804.590761475,-251933570.13387
300,-4500,0,4509.9889135119,-115397246.26062
300,-6200,0,6207.2538211354,-156516184.27975
300,-9100,0,9104.943712072,-231484935.89064
300,-5600,0,5608.029957124,-143052934.87156
300,-4700,0,4709.5647357266,-120566134.57877
300,-6800,0,6806.6144300967,-172904116.20818
300,-8200,0,8205.4859697644,-211124538.07627
300,-8600,0,8605.2309672664,-221244071.95549
300,-9900,0,9904.5444115315,-251933570.13387
300,-7000,0,7006.4256222413,-176359323.36791
300,-2400,0,2418.6773244896,-60531220.00769
300,-3600,0,3612.4783736377,-90247137.145612
300,-2100,0,2121.3203435596,-52091046.793861
300,-1000,0,1044.0306508911,-23709439.377586
300,-8900,0,8905.0547443573,-231484935.89064
300,-2000,0,2022.3748416157,-49960527.218538
300,-2700,0,2716.6155414412,7233902
300,-3300,0,3313.6083051562,7233902
300,-7900,0,7905.6941504209,-201539601.6022
300,0,0,300,-835061.6722253
300,-8400,0,8405.3554356731,-211124538.07627
300,-3200,0,3214.0317359976,7233902
300,-7300,0,7306.1617830431,-184264123.35226
300,-5800,0,5807.7534382926,-148760745.01806
300,-8800,0,8805.112151472,-221244071.95549
300,-100,0,316.22776601684,-835061.6722253
300,-5200,0,5208.6466572422,-132349087.81461
300,-2800,0,2816.0255680657,7233902
300,-5700,0,5707.8892771321,-145829386.89717
300,-9300,0,9304.8374515625,-236940403.6799
300,-2200,0,2220.3603311175,-54470856.42647
300,-7700,0,7705.8419397234,-195632195.15903
300,-6900,0,6906.5186599328,-176359323.36791
300,-4800,0,4809.3658625644,-120566134.57877
300,-5000,0,5008.9919145473,-127401304.13196
300,-4900,0,4909.1750834534,-124974390.72402
300,-900,0,948.68329805051,-23709439.377586
300,-6500,0,6506.919393999,-166543208.68297
300,-6600,0,6606.8146636636,-169313731.94211
300,-1300,0,1334.1664064126,-32086984.418858
300,-8000,0,8005.6230238502,-201539601.6022
300,-5100,0,5108.8159097779,-129907214.69245
300,-2500,0,2517.9356624028,-62968166.556605
300,-2900,0,2915.4759474227,7233902
300,-4200,0,4210.7006542855,-107002809.96089
300,-3500,0,3512.8336140501,-88345153.283181
300,-7500,0,7505.9976019181,-192147877.20304
300,-3400,0,3413.2096331752,7233902
300,-1600,0,1627.88205961,-39798640.589303
300,-3700,0,3712.1422386541,-93440818.009348
300,-5500,0,5508.1757415682,-140218896.54738
300,-9200,0,9204.8900047746,-231484935.89064
300,-3800,0,3811.8237105092,-95967257.527386
300,-6400,0,6407.0273918565,-161658692.38811
300,-7200,0,7206.2472896786,-184264123.35226
300,-3100,0,3114.4823004795,7233902
300,-3900,0,3911.5214431216,-98400513.568682
300,-7400,0,7406.0785845142,-188030222.40081
300,-1100,0,1140.1754250991,-28357893.687708
300,-6700,0,6706.7130548429,-169313731.94211
300,-2600,0,2617.2504656605,7233902
300,-4000,0,4011.2342240263,-101308583.69443
300,-1400,0,1431.7821063276,-34089441.424677
300,-2300,0,2319.4827009486,-58316050.155097
300,-3000,0,3014.9626863363,7233902
300,-9500,0,9504.7356617636,-241784149.97856
300,-9000,0,9004.9986118822,-231484935.89064
300,-1800,0,1824.8287590895,-44713782.982115
300,-8700,0,8705.1708771281,-221244071.95549
300,-7800,0,7805.7670987546,-201539601.6022
300,-7100,0,7106.3352017759,-184264123.35226
300,-1700,0,1726.2676501632,-42955470.894041
300,-600,0,670.82039324994,-14870016.322756
300,-6100,0,6107.372593841,-154388222.191
300,-4100,0,4110.9609582189,-102867979.93775
300,-9700,0,9704.6380664093,-247650874.01729
300,-6300,0,6307.1388124886,-161658692.38811
300,-400,0,500,-10497623.630558
300,-8500,0,8505.292469986,-221244071.95549
300,-1900,0,1923.5384061671,-47532515.242088
300,-8300,0,8305.4199171384,-211124538.07627
300,-4300,0,4310.4524124505,-108772957.5362
300,-5400,0,5408.326913196,-137584497.87234
400,-8300,0,8309.6329642169,-211925290.93994
400,-5100,0,5115.6622249715,-129907214.69245
400,-8100,0,8109.8705291762,-208716476.67553
400,-1900,0,1941.6487838948,-47391137.872373
400,-400,0,565.68542494924,-10497623.630558
400,-8500,0,8509.4065598019,-217023867.07969
400,-3900,0,3920.4591567825,-98823121.451627
400,-9700,0,9708.2439194738,-248207133.60228
